job_title,required_skills,courses_to_learn
Software Engineer,"Python, Java, SQL, Git, Docker, Kubernetes","CS50: Introduction to Computer Science, Python for Everybody (Coursera), Java Programming and Software Engineering Fundamentals (Coursera), Docker Mastery (Udemy), Kubernetes for Developers (Pluralsight)"
Data Scientist,"Python, R, SQL, TensorFlow, Pandas, Scikit-learn, PyTorch","Data Science Specialization (Coursera), Python for Data Science (edX), TensorFlow Developer Certificate (DeepLearning.AI), Advanced SQL for Data Scientists (Udemy)"
Web Developer,"HTML, CSS,javascript","The Web Developer Bootcamp (Udemy), Modern JavaScript (Udemy), React - The Complete Guide (Udemy), Node.js & Express.js Bootcamp (Udemy)"
Mobile App Developer,"Java, Kotlin, Swift, React Native, Flutter, Firebase","Android App Development (Coursera), Kotlin for Android Developers (Udemy), iOS App Development with Swift (edX), Flutter & Dart (Udemy)"
Cloud Engineer,"AWS, Azure, Google Cloud, Docker, Kubernetes, Terraform","AWS Certified Solutions Architect (Coursera), Microsoft Azure Fundamentals (Udemy), Google Cloud Professional Architect (Coursera), HashiCorp Certified Terraform Associate (Udemy)"
DevOps Engineer,"Linux, Jenkins, Ansible, Docker, Kubernetes, CI/CD","DevOps Foundations (LinkedIn Learning), Jenkins: Continuous Integration (Udemy), Ansible for Beginners (Pluralsight), Docker and Kubernetes: The Complete Guide (Udemy)"
Machine Learning Engineer,"Python, R, TensorFlow, PyTorch, Scikit-learn, AWS SageMaker","Deep Learning Specialization (Coursera), PyTorch for Deep Learning (Udemy), Machine Learning with Scikit-learn (Udemy), AWS Certified Machine Learning (Coursera)"
Cybersecurity Analyst,"Firewalls, SIEM, IDS/IPS, Penetration Testing, Python, Linux","Certified Ethical Hacker (CEH) (Pluralsight), Introduction to Cybersecurity (Coursera), CompTIA Security+ Certification (Udemy), Penetration Testing Training (Offensive Security)"
UI/UX Designer,"Figma, Sketch, Adobe XD, HTML, CSS, JavaScript","UI/UX Design Specialization (Coursera), Design Thinking and Creativity for Innovation (edX), Figma Essential Training (LinkedIn Learning)"
Database Administrator,"SQL, NoSQL, Oracle, MongoDB, PostgreSQL, Database Design","SQL for Data Science (Coursera), Database Management Essentials (Coursera), MongoDB for Developers (MongoDB University), PostgreSQL for Everybody (Udemy)"
Full Stack Developer,"HTML, CSS, JavaScript, React, Node.js, Python, Docker","Full-Stack Web Development with React (Coursera), MERN Stack Bootcamp (Udemy), Python Django for Full Stack Development (Udemy)"
Game Developer,"C++, C#, Unity, Unreal Engine, Blender, Python","Game Development for Beginners (Coursera), Master Unity and C# (Udemy), Unreal Engine Developer Course (Udemy), Blender 3D Modeling (Udemy)"
IT Support Specialist,"Windows, Linux, Networking, Troubleshooting, Active Directory, Office 365","Google IT Support Professional Certificate (Coursera), Introduction to Networking (Udemy), CompTIA A+ Certification (Pluralsight)"
Blockchain Developer,"Solidity, Ethereum, Hyperledger, Smart Contracts, Web3.js, Rust","Ethereum and Solidity: The Complete Developer's Guide (Udemy), Blockchain Specialization (Coursera), Rust Programming for Blockchain (Udemy)"
System Administrator,"Linux, Windows Server, VMware, Networking, Shell Scripting, Ansible","Linux Server Management and Security (Pluralsight), Microsoft Windows Server Administration (Udemy), VMware vSphere 6.7 Fundamentals (LinkedIn Learning)"
AI Engineer,"Python, TensorFlow, Keras, NLP, Computer Vision, OpenCV","Artificial Intelligence with Python (Udemy), Deep Learning with TensorFlow (Coursera), Natural Language Processing Specialization (Coursera), OpenCV for Computer Vision (Udemy)"
Data Engineer,"Python, SQL, Spark, Hadoop, ETL, AWS Redshift","Data Engineering on Google Cloud (Coursera), Big Data Engineering (edX), Spark and Hadoop Developer Training (Udemy), ETL Data Pipelines with Python (Udemy)"
Quality Assurance Engineer,"Selenium, JIRA, TestNG, Java, Python, Postman","Automated Software Testing with Selenium (Coursera), Mastering JIRA (Udemy), Software Testing and Automation Specialization (Coursera), API Testing with Postman (Udemy)"
Network Engineer,"Cisco, Networking, Firewalls, Routing, Switching, VPN","Cisco CCNA Certification (Coursera), Networking Basics (Pluralsight), Firewalls and VPNs (Udemy), Routing and Switching (LinkedIn Learning)"
Embedded Systems Engineer,"C, C++, ARM, IoT, Embedded Linux, RTOS","Embedded Systems Essentials (Coursera), IoT Programming with ARM Cortex (edX), Mastering RTOS (Udemy), Embedded Linux Development (Pluralsight)"
Java Developer,"Core Java, Spring Framework, Hibernate, SQL, Data Structures and Algorithms","Java Programming and Software Engineering Fundamentals by Coursera, Spring & Hibernate for Beginners by Udemy"
